Eiffel Tower,169,246,57
Louvre Museum,390,246,51
Notre-Dame Cathedral,442,290,53
Arc de Triomphe,188,130,54
Sacré-Cœur Basilica,404,55,56
Montmartre,466,46,43
Musée d'Orsay,307,218,44
Palais Garnier (Opéra Garnier),386,132,45
Champs-Élysées,209,141,59
Place de la Concorde,307,187,28
Panthéon,443,330,39
Luxembourg Gardens,392,325,32
Centre Pompidou,473,221,33
Sainte-Chapelle,426,263,34
Pont Alexandre III,270,200,35
Place Vendôme,352,225,27
Montparnasse Tower,320,361,3
Acoor Arena,603,401,4
Paris Catacombs,362,384,1
Montsouris Park,365,395,2
